time,open,high,low,close,EMA,Volume
1703821500,21737.65,21770.301,21676.9,21731.4,21126.39048237638,270922276
1704080700,21727.75,21834.35,21680.85,21741.9,21185.010436435772,153995217
1704167100,21751.35,21755.6,21555.65,21665.801,21230.80001391808,263711568
1704253500,21661.1,21677,21500.35,21517.35,21258.090488783026,311933117
1704339900,21605.801,21685.65,21564.551,21658.6,21296.234251756072,340364207
1704426300,21705.75,21749.6,21629.199,21710.801,21335.716799207876,309303266
1704685500,21747.6,21763.949,21492.9,21513,21352.60091356903,231452935
1704771900,21653.6,21724.449,21517.85,21544.85,21370.910350371978,228573407
1704858300,21529.301,21641.85,21448.65,21618.699,21394.50926938417,216991926
1704944700,21688,21726.5,21593.75,21647.199,21418.574958014247,212453866
1705031100,21773.551,21928.25,21715.15,21894.551,21463.906009631937,294678459
1705290300,22053.15,22115.551,21963.551,22097.449,21524.243437286037,345543523
1705376700,22080.5,22124.15,21969.801,22032.301,21572.629871830224,292433764
1705463100,21647.25,21851.5,21550.449,21571.949,21572.56502689401,455999867
1705549500,21414.199,21539.4,21285.551,21462.25,21562.05883385649,387341268
1705635900,21615.199,21670.6,21575,21622.4,21567.80561158444,343055124
1705722300,21706.15,21720.3,21541.8,21571.8,21568.18602952878,162073740
1705981500,21716.699,21750.25,21192.6,21238.801,21536.816026716515,449718534
1706067900,21185.25,21482.35,21137.199,21453.949,21528.92392893399,407460664
1706154300,21454.6,21459,21247.051,21352.6,21512.131173797417,418143077
1706499900,21433.1,21763.25,21429.6,21737.6,21533.60439534052,376702289
1706586300,21775.75,21813.051,21501.801,21522.1,21532.508738641423,375137333
1706672700,21487.25,21741.35,21448.85,21725.699,21550.907811151763,410583065
1706759100,21780.65,21832.949,21658.75,21697.449,21564.864114851596,332541208
1706845500,21812.75,22126.801,21805.551,21853.801,21592.38191343716,442794738
1707104700,21921.051,21964.301,21726.949,21771.699,21609.45973120505,440849699
1707191100,21825.199,21951.4,21737.551,21929.4,21639.930232995044,370968111
1707277500,22045.051,22053.301,21860.15,21930.5,21667.603544138372,346263704
1707363900,22009.65,22011.051,21665.301,21717.949,21672.398349458526,491069786
1707450300,21727,21804.449,21629.9,21782.5,21682.884220938668,349222850
1707709500,21800.801,21831.699,21574.75,21616.051,21676.51915227784,287436165
1707795900,21664.301,21766.801,21543.35,21743.25,21682.874471108524,365785766
1707882300,21578.15,21870.85,21530.199,21840.051,21697.843664336284,359120861
1707968700,21906.551,21953.85,21794.801,21910.75,21718.120458209018,345394395
1708055100,22020.301,22068.65,21968.949,22040.699,21748.842224093874,343892935
1708314300,22103.449,22186.65,22021.051,22122.25,21784.404869418267,218252325
1708400700,22099.199,22215.6,22045.85,22196.949,21823.69478661653,295705319
1708487100,22248.85,22249.4,21997.949,22055.051,21845.728711700667,364545679
1708573500,22081.551,22252.5,21875.25,22217.449,21881.130643919652,343495136
1708659900,22290,22297.5,22186.1,22212.699,21912.708582593972,225983194
1708919100,22169.199,22202.15,22075.15,22122.051,21932.645955680262,207775504
1709005500,22090.199,22218.25,22085.65,22198.35,21957.951102758332,252199186
1709091900,22214.1,22229.15,21915.85,21951.15,21957.30337868611,202952371
1709178300,21935.199,22060.551,21860.65,21982.801,21959.731723573146,360165824
1709264700,22048.301,22353.301,22047.75,22338.75,21995.828702280465,351503075
1709351100,22406.949,22419.551,22367.051,22378.4,22032.26406396804,35763814
1709523900,22403.5,22440.9,22358.301,22405.6,22067.819867399656,298794435
1709610300,22371.25,22416.9,22269.15,22356.301,22095.29426098064,296153036
1709696700,22327.5,22497.199,22224.35,22474.051,22131.36633136344,312262560
1709783100,22505.301,22525.65,22430,22493.551,22165.860109328827,379865142
1710128700,22517.5,22526.6,22307.25,22332.65,22181.74486082132,277897373
1710215100,22334.449,22452.551,22256,22335.699,22196.407159790717,299201167
1710301500,22432.199,22446.75,21905.65,21997.699,22177.48257314398,493341697
1710387900,21982.551,22204.6,21917.5,22146.65,22174.54613760646,426742460
1710474300,22064.85,22120.9,21931.699,22023.35,22160.146505453464,661460455
1710733500,21990.1,22123.699,21916.551,22055.699,22150.199123981707,356321519
1710819900,21946.449,21978.301,21793.1,21817.449,22118.50863598345,344157465
1710906300,21843.9,21930.9,21710.199,21839.1,22091.89828969931,312414696
1710992700,21989.9,22080.949,21941.301,22011.949,22084.284071632712,353172434
1711079100,21932.199,22180.699,21883.301,22096.75,22085.471302905786,388656439
1711424700,21947.9,22073.199,21947.551,22004.699,22077.778702629043,328403719
1711511100,22053.949,22193.6,22052.85,22123.65,22082.147397616754,409136866
1711597500,22163.6,22516,22163.6,22326.9,22105.4571692723,410532842
