time,open,high,low,close
2002-11-14 14:30:00,0.283928,0.293035,0.281785,0.291071
2002-11-15 14:30:00,0.289821,0.29,0.281428,0.284821
2002-11-18 14:30:00,0.289107,0.289285,0.277143,0.279464
2002-11-19 14:30:00,0.277678,0.28125,0.268035,0.272678
2002-11-20 14:30:00,0.273214,0.280357,0.272321,0.277321
2002-11-21 14:30:00,0.283928,0.293571,0.28125,0.291964
2002-11-22 14:30:00,0.287321,0.291232,0.283928,0.285892
2002-11-25 14:30:00,0.28625,0.288214,0.280535,0.285178
2002-11-26 14:30:00,0.283035,0.283928,0.272678,0.275178
2002-11-27 14:30:00,0.278571,0.283214,0.275893,0.280714
2002-11-29 14:30:00,0.281964,0.283571,0.275268,0.276785
2002-12-02 14:30:00,0.283928,0.2875,0.268035,0.271071
2002-12-03 14:30:00,0.271428,0.273928,0.269643,0.270714
2002-12-04 14:30:00,0.271071,0.27125,0.258928,0.267321
2002-12-05 14:30:00,0.268393,0.269285,0.259464,0.26125
2002-12-06 14:30:00,0.261607,0.27125,0.259285,0.266964
2002-12-09 14:30:00,0.266785,0.266964,0.261964,0.263393
2002-12-10 14:30:00,0.263393,0.275893,0.263035,0.272857
2002-12-11 14:30:00,0.273214,0.276607,0.269285,0.276607
2002-12-12 14:30:00,0.276964,0.277678,0.268035,0.27125
2002-12-13 14:30:00,0.270357,0.270535,0.261607,0.264107
2002-12-16 14:30:00,0.264464,0.269643,0.260893,0.265178
2002-12-17 14:30:00,0.265178,0.27125,0.261803,0.269285
2002-12-18 14:30:00,0.264285,0.265357,0.258928,0.260178
2002-12-19 14:30:00,0.259464,0.266428,0.251785,0.253571
2002-12-20 14:30:00,0.255178,0.26,0.246071,0.2525
2002-12-23 14:30:00,0.252857,0.259821,0.252143,0.25875
2002-12-24 14:30:00,0.257857,0.258393,0.255357,0.256428
2002-12-26 14:30:00,0.2575,0.264464,0.255,0.257143
2002-12-27 14:30:00,0.255535,0.256785,0.250178,0.251071
2002-12-30 14:30:00,0.251428,0.252678,0.247143,0.25125
2002-12-31 14:30:00,0.25,0.256428,0.249107,0.255893
2003-01-02 14:30:00,0.256428,0.266428,0.25625,0.264285
2003-01-03 14:30:00,0.264285,0.266607,0.260535,0.266071
2003-01-06 14:30:00,0.268393,0.274643,0.265714,0.266071
2003-01-07 14:30:00,0.264107,0.267857,0.258393,0.265178
2003-01-08 14:30:00,0.260357,0.262678,0.257857,0.259821
2003-01-09 14:30:00,0.261071,0.266428,0.258928,0.262143
2003-01-10 14:30:00,0.260357,0.264643,0.25875,0.262857
2003-01-13 14:30:00,0.266071,0.266071,0.256446,0.26125
2003-01-14 14:30:00,0.262321,0.264643,0.25875,0.260893
2003-01-15 14:30:00,0.260535,0.2625,0.254643,0.257678
2003-01-16 14:30:00,0.25375,0.263571,0.25375,0.261071
2003-01-17 14:30:00,0.26,0.26,0.251428,0.251785
2003-01-21 14:30:00,0.25375,0.257321,0.25,0.250357
2003-01-22 14:30:00,0.249643,0.252678,0.246428,0.247857
2003-01-23 14:30:00,0.250893,0.256428,0.249107,0.253035
2003-01-24 14:30:00,0.254285,0.254285,0.242143,0.246428
2003-01-27 14:30:00,0.244285,0.258928,0.24375,0.252321
2003-01-28 14:30:00,0.254285,0.262321,0.252857,0.260357
2003-01-29 14:30:00,0.259821,0.269643,0.255357,0.266607
2003-01-30 14:30:00,0.2675,0.269107,0.255178,0.255714
2003-01-31 14:30:00,0.253393,0.259821,0.250893,0.256428
2003-02-03 14:30:00,0.257321,0.26625,0.25625,0.261785
2003-02-04 14:30:00,0.258035,0.261607,0.255535,0.260714
2003-02-05 14:30:00,0.262678,0.266607,0.257982,0.258035
2003-02-06 14:30:00,0.256428,0.260535,0.253928,0.257678
2003-02-07 14:30:00,0.259821,0.260714,0.25125,0.252678
2003-02-10 14:30:00,0.254643,0.260178,0.251071,0.25625
2003-02-11 14:30:00,0.258928,0.26125,0.253571,0.25625
2003-02-12 14:30:00,0.254821,0.260714,0.254821,0.256964
2003-02-13 14:30:00,0.257321,0.261428,0.254285,0.259643
2003-02-14 14:30:00,0.260893,0.262857,0.25625,0.261964
2003-02-18 14:30:00,0.263393,0.273214,0.262857,0.272678
2003-02-19 14:30:00,0.269107,0.270535,0.262143,0.265178
2003-02-20 14:30:00,0.265178,0.267143,0.262678,0.26375
2003-02-21 14:30:00,0.264643,0.268928,0.261607,0.267857
2003-02-24 14:30:00,0.265357,0.268393,0.246428,0.263214
2003-02-25 14:30:00,0.262143,0.269285,0.260518,0.268214
2003-02-26 14:30:00,0.267678,0.268214,0.258571,0.258928
