pid,ud1,ud1_d,ud2,ud2_d,ud3,ud3_d,ud4,ud4_d,ud5,ud5_d,ud6,ud6_d,ud7,ud7_d
1,0,-0.012834999999999985,1,0.04520099999999999,0,-0.025668999999999997,1,0.011160000000000003,0,-0.027344000000000007,0,-0.022320999999999994,1,0.022320999999999994
2,0,-0.008370000000000002,1,0.016183000000000003,0,-0.012835,1,0.018973000000000004,0,-0.010602,1,0.02790100000000001,0,-0.03292400000000001
3,0,-0.011718999999999993,1,0.016183000000000003,-1,0.0,0,-0.03125,1,0.012835,0,-0.033482,1,0.022320999999999994
4,1,0.008371000000000003,0,-0.00948700000000001,1,0.0011160000000000059,1,0.021205,0,-0.0039060000000000067,0,-0.018415,1,0.012835
5,0,-0.007812999999999987,0,-0.018973000000000004,1,0.016740999999999992,0,-0.0072539999999999966,1,0.002790000000000001,0,-0.010044999999999998,1,0.005021999999999999
6,0,-0.012275999999999995,1,0.004464000000000003,0,-0.012277000000000003,1,0.014509000000000008,0,-0.0016740000000000088,0,-0.0072549999999999976,1,0.003907000000000001
7,1,0.020647000000000006,1,0.005021999999999999,1,0.020648,1,0.008370000000000002,1,0.023996000000000003,1,0.010043999999999997,0,-0.009485999999999994
8,1,0.02567,0,-0.023438000000000014,1,0.018415000000000015,0,-0.023437,1,0.076451,0,-0.01227700000000001,1,0.021763000000000005
9,0,-0.026228,1,0.056361999999999995,0,-0.015625,1,0.028459000000000012,0,-0.010602,1,0.035714000000000024,0,-0.005580000000000029
10,0,-0.04631699999999997,0,-0.016741000000000006,0,-0.040735999999999994,0,-0.016741000000000006,1,0.040735999999999994,0,-0.039061999999999986,1,0.00669599999999998
11,1,0.004463999999999996,0,-0.04017799999999999,0,-0.018416000000000002,1,0.016183000000000003,1,0.002232999999999999,0,-0.02511200000000001,1,0.029018000000000002
12,1,0.011719000000000007,0,-0.008929000000000006,1,0.012276999999999996,0,-0.025668999999999997,1,0.0078119999999999995,1,0.010603000000000001,0,-0.011718999999999993
13,1,0.013951000000000005,1,0.02511100000000001,0,-0.013951000000000019,1,0.013393000000000016,0,-0.017857000000000012,1,0.005023,0,-0.02176399999999999
14,0,-0.004463999999999996,1,0.022878999999999997,1,0.00334799999999999,0,-0.016740999999999992,1,0.010602999999999987,0,-0.026227999999999987,1,0.008929000000000006
15,1,0.005580000000000002,0,-0.019530999999999993,1,0.017856999999999998,0,-0.0016740000000000088,1,0.013950999999999991,0,-0.007253999999999983,1,0.012833999999999984
16,0,-0.017856999999999984,0,-0.019531000000000007,1,0.004463999999999996,0,-0.012833999999999998,1,0.014508000000000007,0,-0.016183000000000003,1,0.009486999999999995
17,0,-0.017298999999999995,0,-0.003905999999999993,1,0.004463999999999996,0,-0.010044999999999998,1,0.016183000000000003,0,-0.015625,1,0.001673999999999995
18,1,0.001673999999999995,1,0.007813,0,-0.008929000000000006,1,0.013393000000000002,0,-0.0005580000000000029,1,0.011719000000000007,0,-0.0033480000000000038
19,1,0.013950999999999991,1,0.008929000000000006,0,-0.010603000000000001,1,0.007813,1,0.011160000000000003,0,-0.0078119999999999995,1,0.008370000000000002
20,0,-0.0061380000000000046,1,0.02399499999999999,0,-0.00334799999999999,1,0.021763000000000005,1,0.011161000000000004,0,-0.020647,1,0.007253999999999983
21,1,0.005580000000000002,0,-0.021763000000000005,0,-0.007811999999999986,1,0.032366000000000006,0,-0.026786000000000004,1,0.019530999999999993,0,-0.013950999999999991
22,1,0.002789999999999987,1,0.016183000000000003,0,-0.007811999999999986,1,0.022321000000000008,1,0.015625,0,-0.014509000000000022,1,0.036831
23,0,-0.001673999999999981,1,0.06082599999999999,0,-0.02288000000000001,1,0.039063000000000014,0,-0.03348200000000001,1,0.041294,1,0.023438000000000014
24,1,0.00669599999999998,0,-0.026785000000000003,1,0.047991000000000006,0,-0.042410999999999976,1,0.06026799999999999,0,-0.03348200000000001,1,0.05357099999999998
25,1,0.11383899999999997,0,-0.06473199999999996,0,-0.13839200000000002,1,0.037946000000000035,0,-0.11383900000000002,1,0.10267799999999999,0,-0.020088999999999968
