pid,ud1,ud1_d,ud2,ud2_d,ud3,ud3_d,ud4,ud4_d,ud5,ud5_d,ud6,ud6_d,ud7,ud7_d
16,0,-1.2469599999999996,1,0.9371569999999991,0,-2.740156,1,1.697648,1,0.2197130000000005,0,-1.2839950000000009,1,1.51572
17,1,0.11185799999999979,1,0.8951180000000001,0,-1.2189309999999995,1,0.19844099999999898,0,-1.1786449999999995,1,1.444179,1,1.485913
18,0,-0.13788399999999967,1,1.2717349999999996,0,-1.1934120000000004,1,1.1503709999999998,0,-0.37311599999999956,1,0.8655910000000002,0,-0.4581949999999999
19,0,-0.18517700000000126,1,1.152368000000001,0,-0.3623510000000003,1,1.6333330000000004,0,-0.3968870000000013,1,0.9151389999999999,1,0.23022100000000023
20,1,1.094811,0,-0.8170400000000004,0,-0.2782719999999994,0,-1.0755420000000004,0,-0.33086899999999986,1,0.0005500000000004945,1,1.359814
21,0,-0.7642419999999994,1,1.1586239999999997,0,-1.1299700000000001,0,-1.4265109999999996,1,0.7134420000000006,0,-1.241200000000001,1,0.41315100000000093
22,0,-1.2557159999999996,1,1.3295359999999992,1,0.12061800000000034,0,-0.8612099999999998,1,1.2135540000000002,0,-1.453411000000001,1,1.943632000000001
23,1,0.37886499999999934,1,1.9213620000000002,1,0.12937400000000032,0,-0.9799480000000003,1,0.157153000000001,0,-0.8580820000000013,1,1.5197220000000016
24,1,0.6361139999999992,0,-0.23897699999999844,0,-1.826269,1,0.8683399999999999,0,-0.332573,0,-1.1964110000000012,0,-0.22946999999999917
25,1,0.0583089999999995,0,-1.3307939999999991,1,1.794744999999999,0,-0.4419329999999988,1,1.7186699999999995,1,0.6231019999999994,0,-0.471209
26,0,-1.5202240000000007,1,0.28052100000000024,0,-1.6593590000000003,1,1.3953520000000008,0,-1.2802380000000007,1,2.4063289999999995,1,0.416658
27,0,-1.2346979999999999,1,1.567767,1,1.066786999999998,0,-1.1466129999999986,1,0.4281669999999984,0,-1.7537009999999977,1,0.8795999999999999
28,0,-0.3440829999999995,1,1.3890959999999986,0,-0.11886499999999955,0,-1.1245879999999993,0,-0.2504930000000005,1,0.8225440000000006,0,-1.0184859999999993
29,0,-0.5044930000000001,1,0.8813530000000007,0,-0.6366150000000008,1,1.613563000000001,1,1.0555210000000006,1,0.08958900000000014,1,0.6363649999999978
30,1,1.6736189999999986,0,-0.3042929999999977,0,-1.5137160000000023,0,-0.33056999999999803,1,0.15334700000000012,0,-1.019439000000002,1,1.8250230000000016
31,0,-0.5592949999999988,1,1.0377550000000006,0,-0.9661819999999999,1,1.275234000000001,1,0.908375999999997,1,1.2130280000000013,0,-0.8108380000000004
32,0,-0.7296070000000014,1,0.8497249999999994,1,2.903307999999999,0,-1.4211220000000004,1,1.0390070000000016,0,-0.861339000000001,1,1.4213790000000017
33,0,-1.696193000000001,0,-0.25044400000000167,1,1.4118720000000025,0,-1.2424579999999992,1,0.8789529999999992,1,3.0683240000000005,0,-0.2028950000000016
34,1,1.3460539999999988,1,1.3590669999999996,0,-0.25274499999999733,1,1.4689239999999977,0,-1.5632649999999977,1,0.1423880000000004,1,1.853045999999999
35,1,2.156589999999998,0,-2.6358049999999977,1,0.6909789999999987,0,-1.543499999999998,1,1.3204999999999991,0,-2.196999999999999,1,0.9220000000000006
36,1,2.0229999999999997,0,-1.2127499999999998,1,1.7657500000000006,0,-0.2555000000000014,1,1.214500000000001,0,-1.5755000000000017,1,0.940999999999999
37,1,0.45449999999999946,0,-0.9994999999999976,1,1.1879999999999988,0,-0.8810000000000002,0,-3.240500000000001,1,2.245000000000001,0,-1.4109999999999978
38,0,-2.0214999999999996,1,2.1679999999999993,0,-2.222999999999999,1,2.2444999999999986,0,-0.34750000000000014,1,2.18975,0,-1.2897500000000015
39,1,0.7949999999999982,0,-1.8114999999999988,0,-0.42849999999999966,1,2.0459999999999994,0,-1.9289999999999985,1,0.39599999999999724,1,1.0195000000000007
40,0,-0.695999999999998,1,2.856499999999997,1,4.892000000000003,0,-0.27900000000000347,0,-4.078499999999998,1,2.7745000000000033,0,-1.2980000000000018
41,1,2.1480000000000032,0,-1.4074999999999989,1,2.965999999999994,1,2.294000000000004,0,-1.3290000000000006,1,2.1769999999999996,0,-2.4309999999999974
42,0,-0.09949999999999903,1,3.166499999999999,0,-3.8574999999999946,0,-0.13700000000000045,1,4.332999999999998,0,-0.38400000000000034,0,-2.1114999999999995
43,0,-1.8575000000000017,1,1.716000000000001,0,-1.2034999999999982,1,1.3604999999999947,0,-1.3825000000000003,0,-1.6864999999999952,1,5.948999999999998
44,1,0.45350000000000534,0,-0.9635000000000034,1,1.3614999999999995,0,-0.5675000000000026,1,1.5570000000000022,0,-2.677500000000002,1,1.1700000000000017
45,0,-1.3534999999999968,1,0.5619999999999976,1,2.6715000000000018,0,-1.2719999999999985,1,3.299999999999997,0,-2.160499999999999,1,1.8059999999999974
46,1,1.0685000000000002,0,-1.8614999999999995,1,0.25200000000000244,1,2.5630000000000024,1,3.1639999999999944,0,-0.6274999999999977,1,2.697499999999998
47,0,-2.103500000000004,1,1.2139999999999986,0,-3.3314999999999984,1,3.9425000000000026,0,-2.289999999999999,0,-1.446000000000005,1,1.1530000000000058
48,0,-0.8079999999999998,1,3.5685000000000002,0,-0.7115000000000009,1,2.1125000000000043,1,1.9169999999999945,0,-3.006999999999998,1,3.0844999999999985
49,1,5.835500000000003,0,-0.2984999999999971,0,-8.694000000000003,1,6.799500000000002,1,1.1114999999999995,0,-7.9495000000000005,1,1.1385000000000005
50,0,-0.31700000000000017,1,3.958500000000001,0,-1.8699999999999974,1,4.2485,1,1.527000000000001,0,-3.365000000000002,1,4.4069999999999965
51,1,4.449500000000008,0,-3.482500000000009,1,2.440000000000005,0,-4.3530000000000015,1,1.6970000000000027,0,-5.968500000000006,1,0.9605000000000032
52,0,-4.009,1,3.6754999999999995,0,-4.040999999999997,1,4.446999999999996,0,-6.5844999999999985,1,3.158999999999999,1,4.6785
53,0,-2.3829999999999956,1,6.5959999999999965,0,-3.192999999999998,1,6.1965,0,-6.1440000000000055,0,-2.4229999999999947,1,2.296999999999997
54,0,-3.1544999999999987,0,-4.133500000000005,1,4.859999999999999,1,5.464000000000006,0,-4.523500000000006,1,2.5720000000000027,0,-2.630499999999998
55,1,3.7379999999999995,0,-3.4009999999999962,1,5.552999999999997,0,-1.5090000000000003,1,1.8689999999999998,1,1.8680000000000092,0,-1.940000000000012
56,1,10.296499999999995,0,-10.495999999999995,1,3.332499999999996,0,-5.3215,0,-8.180999999999997,1,5.136000000000003,0,-7.063500000000005
57,1,2.194499999999998,0,-3.4624999999999986,1,8.6265,0,-1.631999999999998,1,5.4794999999999945,1,3.0705000000000098,1,1.4555000000000007
58,0,-3.9280000000000115,1,10.064999999999998,0,-4.164999999999992,1,11.842500000000001,0,-9.689499999999995,0,-5.71050000000001,1,2.3105000000000047
59,1,7.507500000000007,0,-6.108999999999995,1,12.584999999999994,0,-1.7469999999999999,1,4.870500000000007,0,-5.237500000000011,1,1.3515000000000015
60,1,7.457499999999996,0,-2.6355000000000075,1,13.07350000000001,0,-3.2049999999999983,1,1.8894999999999982,1,7.8219999999999885,1,4.548500000000004
61,1,5.088999999999999,0,-2.041499999999999,0,-7.584000000000003,1,9.003,1,5.5625,1,11.515999999999991,0,-0.9685000000000059
62,1,8.963999999999999,0,-3.000499999999988,0,-8.555499999999995,1,9.577499999999986,0,-5.789999999999992,1,10.59899999999999,0,-2.2794999999999845
63,0,-7.626499999999993,1,6.85499999999999,0,-8.425999999999988,0,-12.545500000000004,1,10.709000000000003,1,10.355999999999995,0,-20.412000000000006
64,0,-6.740000000000009,1,13.917000000000002,1,3.103499999999997,0,-28.676999999999992,1,7.966499999999996,0,-16.45599999999999,1,8.73599999999999
65,0,-10.786999999999992,1,11.94149999999999,1,1.3785000000000025,0,-14.3335,1,11.299999999999997,1,5.760000000000005,0,-17.08
66,0,-7.259999999999991,1,8.829999999999998,0,-9.549999999999997,0,-11.5,1,15.009999999999991,1,2.549999999999997,0,-13.22999999999999
67,1,1.8900000000000006,1,16.61999999999999,0,-0.09999999999999432,0,-12.629999999999995,0,-5.88000000000001,1,15.790000000000006,0,-0.45000000000000284
68,0,-3.730000000000004,1,20.36,0,-4.1499999999999915,1,6.409999999999997,0,-10.86,1,8.090000000000003,0,-0.7800000000000011
69,1,10.550000000000011,0,-5.120000000000019,1,10.64,0,-9.534999999999997,1,11.985000000000014,0,-1.740000000000009,0,-13.200000000000003
70,1,16.210000000000008,0,-9.219999999999999,1,12.219999999999999,0,-5.760000000000019,1,17.78,0,-13.409999999999997,1,4.0
71,0,-1.579999999999984,0,-12.560000000000002,1,24.090000000000003,1,0.5099999999999909,1,15.949999999999989,0,-9.169999999999987,1,11.400000000000006
72,0,-0.9699999999999989,1,16.090000000000003,0,-9.390000000000015,0,-14.509999999999991,1,3.4799999999999898,0,-12.469999999999999,1,6.390000000000015
73,0,-14.189999999999998,1,18.330000000000013,0,-4.27000000000001,1,18.03,0,-2.6299999999999955,0,-13.360000000000014,1,7.8799999999999955
74,1,20.689999999999998,0,-5.740000000000009,1,10.550000000000011,0,-8.400000000000006,1,14.569999999999993,0,-21.039999999999992,0,-24.670000000000016
