pid,ud1,ud1_d,ud2,ud2_d,ud3,ud3_d,ud4,ud4_d,ud5,ud5_d,ud6,ud6_d,ud7,ud7_d
1,0,-0.028124999999999997,1,0.005988999999999994,1,0.05234399999999999,0,-0.021353999999999984,1,0.015103999999999992,1,0.0020830000000000015,0,-0.017708
2,1,0.053646,1,0.066666,0,-0.05000000000000002,1,0.032292000000000015,1,0.05598900000000001,0,-0.080989,1,0.023176999999999975
3,1,0.03281200000000001,0,-0.008333000000000007,1,0.03176999999999999,1,0.046354000000000006,0,-0.021874999999999978,1,0.048957999999999946,0,-0.01874999999999999
4,1,0.07760399999999995,0,-0.07291599999999998,1,0.06093700000000002,0,-0.046354000000000006,1,0.306247,0,-0.05885399999999996,1,0.23229
5,1,0.3369749999999999,0,-0.33333,1,0.31666399999999995,0,-0.022916999999999854,0,-0.42501200000000006,0,-0.08956600000000003,1,0.3104140000000001
6,1,0.168748,1,0.7645759999999999,0,-0.22499800000000003,1,1.3411320000000002,0,-0.2557260000000001,1,1.9385679999999996,0,-0.9156249999999995
7,0,-1.2125000000000004,1,1.0875000000000004,0,-0.3406250000000002,1,1.6781249999999996,1,0.08750000000000036,0,-0.7765620000000002,1,1.2062499999999998
8,0,-1.5718749999999995,0,-0.7859370000000001,1,0.109375,0,-0.5984380000000002,1,0.7875000000000001,1,0.4015629999999999,0,-1.2781249999999997
9,1,0.890625,0,-0.1937500000000001,1,0.9093749999999998,1,0.4250000000000007,0,-1.3093750000000002,1,0.7468749999999997,0,-0.25
10,1,0.5562499999999995,1,1.03125,0,-0.8656249999999996,0,-1.1906249999999998,0,-0.1937500000000001,1,1.1249999999999996,0,-0.6874999999999996
11,0,-0.2124999999999999,1,0.4468749999999999,0,-0.2781250000000002,0,-1.0343749999999998,1,0.7062499999999998,0,-0.7749999999999999,1,0.6187499999999999
12,0,-0.421875,0,-0.609375,0,-0.03750000000000009,1,0.46875,0,-0.625,1,0.02187500000000009,1,0.6124999999999998
13,0,-0.12187500000000018,0,-0.903125,1,0.890625,0,-0.596875,0,-0.3218749999999999,1,0.22499999999999987,0,-0.459375
14,1,0.109375,0,-0.17500000000000004,1,0.18437500000000007,0,-0.15000000000000002,1,0.365625,0,-0.375,0,-0.28725
15,1,0.407,0,-0.0635,1,0.11450000000000005,0,-0.21150000000000002,1,0.17900000000000005,0,-0.2775000000000001,1,0.281
16,1,0.048501000000000016,0,-0.27349999999999997,1,0.04949999999999999,0,-0.11850000000000005,0,-0.20799999999999996,1,0.1795,0,-0.09999999999999998
17,1,0.08750000000000002,1,0.17050000000000004,0,-0.11900000000000005,1,0.1255,0,-0.16049999999999998,1,0.3185,0,-0.21299999999999997
18,1,0.20950100000000005,0,-0.13400100000000004,1,0.07499999999999996,0,-0.13949999999999996,1,0.06599999999999995,1,0.13650000000000007,1,0.13
