time,open,high,low,close
2002-02-08 14:30:00,0.5755,0.6335,0.575,0.626
2002-02-11 14:30:00,0.632,0.675,0.627,0.665
2002-02-12 14:30:00,0.6515,0.662,0.625,0.645
2002-02-13 14:30:00,0.655,0.6665,0.653,0.6645
2002-02-14 14:30:00,0.667,0.713,0.665,0.694
2002-02-15 14:30:00,0.6955,0.702,0.6635,0.6705
2002-02-19 14:30:00,0.6475,0.692,0.64,0.6505
2002-02-20 14:30:00,0.6595,0.67,0.6075,0.648
2002-02-21 14:30:00,0.6455,0.6825,0.645,0.663
2002-02-22 14:30:00,0.6525,0.6615,0.635,0.6535
2002-02-25 14:30:00,0.6545,0.687,0.65,0.6865
2002-02-26 14:30:00,0.6755,0.7245,0.6725,0.72
2002-02-27 14:30:00,0.7275,0.7365,0.706,0.7135
2002-02-28 14:30:00,0.7145,0.7375,0.6965,0.705
2002-03-01 14:30:00,0.7065,0.77,0.706,0.7695
2002-03-04 14:30:00,0.771,0.824501,0.77,0.824
2002-03-05 14:30:00,0.8,0.834,0.7765,0.7985
2002-03-06 14:30:00,0.741,0.8295,0.741,0.8165
2002-03-07 14:30:00,0.8205,0.8475,0.77,0.781
2002-03-08 14:30:00,0.8125,0.848001,0.7965,0.817501
2002-03-11 14:30:00,0.802,0.844,0.793,0.835501
2002-03-12 14:30:00,0.817501,0.8295,0.802,0.8155
2002-03-13 14:30:00,0.8025,0.817,0.782,0.787
2002-03-14 14:30:00,0.7495,0.775,0.714,0.724
2002-03-15 14:30:00,0.7135,0.7145,0.6775,0.7015
2002-03-18 14:30:00,0.7075,0.764,0.707,0.7505
2002-03-19 14:30:00,0.7575,0.77,0.728,0.733
2002-03-20 14:30:00,0.724,0.7565,0.715,0.725
2002-03-21 14:30:00,0.731,0.762,0.728,0.7585
2002-03-22 14:30:00,0.756,0.78015,0.755,0.7765
2002-03-25 14:30:00,0.7735,0.7865,0.736,0.737
2002-03-26 14:30:00,0.732,0.7725,0.7275,0.7415
2002-03-27 14:30:00,0.695,0.7175,0.685,0.7125
2002-03-28 14:30:00,0.72,0.7325,0.7125,0.715
2002-04-01 14:30:00,0.714,0.74,0.707,0.74
2002-04-02 14:30:00,0.732,0.7545,0.7095,0.7125
2002-04-03 14:30:00,0.7185,0.7225,0.68,0.6835
2002-04-04 14:30:00,0.6865,0.69,0.6615,0.677
2002-04-05 14:30:00,0.6835,0.702,0.6655,0.675
2002-04-08 13:30:00,0.6485,0.698,0.648,0.6975
2002-04-09 13:30:00,0.7035,0.7295,0.678,0.68
2002-04-10 13:30:00,0.688,0.7,0.6525,0.674
2002-04-11 13:30:00,0.664,0.664,0.626,0.637
2002-04-12 13:30:00,0.645,0.6805,0.6425,0.6655
2002-04-15 13:30:00,0.671,0.705,0.6675,0.6945
2002-04-16 13:30:00,0.709,0.7145,0.686,0.7005
2002-04-17 13:30:00,0.712,0.75,0.712,0.741
2002-04-18 13:30:00,0.735,0.743,0.6975,0.713
2002-04-19 13:30:00,0.719,0.737,0.7075,0.7265
2002-04-22 13:30:00,0.729,0.7425,0.7075,0.7155
2002-04-23 13:30:00,0.7175,0.7375,0.694,0.703
2002-04-24 13:30:00,0.7615,0.842501,0.7525,0.8395
2002-04-25 13:30:00,0.825499,0.8525,0.8205,0.841001
2002-04-26 13:30:00,0.843,0.8475,0.816001,0.8455
2002-04-29 13:30:00,0.8375,0.85,0.795,0.809
2002-04-30 13:30:00,0.8065,0.837999,0.7965,0.8345
2002-05-01 13:30:00,0.8275,0.8525,0.821,0.824501
2002-05-02 13:30:00,0.8215,0.8325,0.8125,0.816001
2002-05-03 13:30:00,0.8115,0.82,0.7875,0.8025
2002-05-06 13:30:00,0.797,0.824501,0.7875,0.806
2002-05-07 13:30:00,0.8055,0.817501,0.8016,0.8055
2002-05-08 13:30:00,0.8275,0.873001,0.825,0.866001
2002-05-09 13:30:00,0.856,0.9115,0.855001,0.8865
2002-05-10 13:30:00,0.8945,0.898001,0.84,0.847
2002-05-13 13:30:00,0.8585,0.8815,0.842501,0.866001
2002-05-14 13:30:00,0.902,0.9725,0.901,0.9405
2002-05-15 13:30:00,0.934,1.02,0.917501,0.997
2002-05-16 13:30:00,0.9755,0.9975,0.9645,0.9805
2002-05-17 13:30:00,0.9985,1.0,0.9405,0.958
2002-05-20 13:30:00,0.94,0.974,0.9385,0.9695
