time,open,high,low,close,Volume
2025-03-26 19:00:00,164.5200,165.4000,164.4000,165.0000,21021
2025-03-27 04:00:00,165.6000,165.9200,164.9200,165.7200,24715
2025-03-27 05:00:00,165.7000,165.8700,165.2300,165.6900,9524
2025-03-27 06:00:00,165.7100,165.8500,165.3600,165.4000,12332
2025-03-27 07:00:00,165.3600,165.6000,164.4000,165.2400,39175
2025-03-27 08:00:00,165.6000,165.8800,164.5600,165.2300,61237
2025-03-27 09:00:00,165.3000,165.4200,163.8000,164.8122,2602303
2025-03-27 10:00:00,164.8100,165.1400,163.6100,164.3000,3596390
2025-03-27 11:00:00,164.3000,164.7100,163.2150,163.4700,2592323
2025-03-27 12:00:00,163.4600,164.1900,163.1500,163.1900,1760694
2025-03-27 13:00:00,163.2050,163.8000,162.6400,162.6700,1901460
2025-03-27 14:00:00,162.6600,163.0300,162.4050,162.4301,2485344
2025-03-27 15:00:00,162.4300,163.1200,162.0000,162.1800,4639520
2025-03-27 16:00:00,162.1800,170.7088,154.9621,162.1200,7649364
2025-03-27 17:00:00,162.0400,187.4400,161.9301,162.2400,28599
2025-03-27 18:00:00,162.2400,162.2400,162.0100,162.2400,17499
2025-03-27 19:00:00,162.2400,162.2400,161.8100,162.0000,20700
2025-03-28 04:00:00,162.0000,162.4000,161.5100,161.6200,24581
2025-03-28 05:00:00,161.6200,161.7600,161.5100,161.7200,13663
2025-03-28 06:00:00,161.7300,162.2600,161.7000,161.9700,23611
2025-03-28 07:00:00,161.9400,162.0800,161.6000,161.8800,18773
2025-03-28 08:00:00,161.9200,162.3900,160.9500,161.0300,137019
2025-03-28 09:00:00,161.0900,163.0734,160.2050,160.2200,3164226
2025-03-28 10:00:00,160.2000,160.5100,156.9300,157.3500,7529755
2025-03-28 11:00:00,157.3450,157.3750,155.7400,155.7500,5716086
2025-03-28 12:00:00,155.7500,156.6588,155.3810,155.4100,3841000
2025-03-28 13:00:00,155.4100,155.4800,154.4600,155.4301,4925616
2025-03-28 14:00:00,155.4377,155.6100,154.5700,154.9050,3970745
2025-03-28 15:00:00,154.9050,154.9050,153.6300,154.3200,10406604
2025-03-28 16:00:00,154.3200,154.3800,153.8000,154.0600,14318800
2025-03-28 17:00:00,154.0600,161.2670,143.5097,154.3000,758503
2025-03-28 18:00:00,154.2900,154.3300,154.1100,154.3100,22778
2025-03-28 19:00:00,154.3100,154.3100,154.2200,154.2900,26945
