time,open,high,low,close,Volume
2025-03-21 11:40:00,213.2650,213.4100,212.6950,212.7100,366583
2025-03-21 11:45:00,212.7000,213.3199,212.6800,213.2350,273025
2025-03-21 11:50:00,213.2100,213.4200,212.9950,213.2600,303062
2025-03-21 11:55:00,213.2800,213.5700,213.2602,213.2602,196729
2025-03-21 12:00:00,213.2500,213.3096,212.6400,213.1800,428365
2025-03-21 12:05:00,213.1800,213.8499,213.1510,213.8200,279074
2025-03-21 12:10:00,213.8300,214.5300,213.8100,214.4721,328994
2025-03-21 12:15:00,214.4650,214.9900,214.3000,214.8300,411690
2025-03-21 12:20:00,214.8300,215.4000,214.7900,215.0599,395557
2025-03-21 12:25:00,215.0600,215.0700,214.5500,214.6550,323655
2025-03-21 12:30:00,214.6700,215.3500,214.6200,215.3200,576491
2025-03-21 12:35:00,215.3250,215.3299,214.7500,214.9700,264052
2025-03-21 12:40:00,214.9800,215.4200,214.8200,215.0800,460774
2025-03-21 12:45:00,215.0900,215.3756,215.0800,215.2800,823276
2025-03-21 12:50:00,215.2900,215.4800,215.1100,215.1600,278144
2025-03-21 12:55:00,215.1700,215.4600,215.0600,215.4300,273151
2025-03-21 13:00:00,215.4250,215.4250,215.0100,215.1000,222004
2025-03-21 13:05:00,215.1000,215.2487,214.8900,215.2101,169465
2025-03-21 13:10:00,215.2200,215.3200,214.9900,215.0600,184314
2025-03-21 13:15:00,215.0600,215.1200,214.7800,214.8100,204740
2025-03-21 13:20:00,214.8200,215.0500,214.7020,214.9402,247472
2025-03-21 13:25:00,214.9400,214.9800,214.4848,214.6200,212808
2025-03-21 13:30:00,214.6200,214.8100,214.4100,214.7600,259063
2025-03-21 13:35:00,214.7700,215.0390,214.7400,215.0250,217507
2025-03-21 13:40:00,215.0100,215.0100,214.6101,214.6224,413248
2025-03-21 13:45:00,214.6400,214.7700,214.4400,214.7000,231249
2025-03-21 13:50:00,214.7079,214.9300,214.6700,214.8100,196970
2025-03-21 13:55:00,214.8000,214.8400,214.2601,214.2900,206953
2025-03-21 14:00:00,214.2800,214.6700,214.2800,214.6000,369117
2025-03-21 14:05:00,214.6000,214.7400,214.3700,214.6500,238723
2025-03-21 14:10:00,214.6300,214.7850,214.4720,214.7500,222615
2025-03-21 14:15:00,214.7493,214.8200,214.5700,214.7300,186609
2025-03-21 14:20:00,214.7200,214.9399,214.6500,214.6900,306555
2025-03-21 14:25:00,214.6950,214.8200,214.5000,214.6600,243310
2025-03-21 14:30:00,214.6700,215.0400,214.6700,214.9100,250456
2025-03-21 14:35:00,214.9100,215.0700,214.7398,215.0700,332056
2025-03-21 14:40:00,215.0700,215.3000,214.9600,215.2450,298849
2025-03-21 14:45:00,215.2483,215.2483,214.6400,215.1000,534135
2025-03-21 14:50:00,215.1000,215.2200,215.0500,215.2050,304340
2025-03-21 14:55:00,215.2100,215.3700,215.1300,215.1700,268493
2025-03-21 15:00:00,215.1700,215.2200,215.0450,215.1550,279428
2025-03-21 15:05:00,215.1550,215.1950,214.9900,215.0250,506641
2025-03-21 15:10:00,215.0000,215.1250,214.8600,215.0615,447269
